일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-19,70600,71300,69800,70200,362032,0.5730659025787965,10882,1220,-26928,14826,0,25686.0,5.0,776619.0,2.190000057220459
2025-12-18,70600,70950,69600,69800,279813,-1.4124293785310735,14628,652,31458,-46738,0,59667.0,15.449999809265137,776619.0,2.190000057220459
2025-12-17,68400,71000,68100,70800,568386,4.117647058823529,126035,-6072,-167010,47047,0,37088.0,4.610000133514404,776619.0,2.190000057220459
2025-12-16,68400,68900,67600,68000,301894,-0.7299270072992701,34661,-1095,-25,-33541,0,30405.0,7.789999961853027,750309.0,2.109999895095825
2025-12-15,67300,69800,66900,68500,436553,0.43988269794721413,10857,-959,81312,-91210,0,59448.0,9.65999984741211,769173.0,2.1600000858306885
2025-12-12,67300,68400,67300,68200,205608,0.8875739644970414,-47025,-1117,-15671,63813,0,16792.0,5.829999923706055,704772.0,1.9800000190734863
2025-12-11,68000,68200,67000,67600,241678,-0.4418262150220913,-86426,2528,63581,20317,0,19321.0,6.289999961853027,739743.0,2.0799999237060547
2025-12-10,67600,68900,67200,67900,221834,0.14749262536873156,21636,-1247,-17121,-3268,0,21472.0,6.920000076293945,754062.0,2.119999885559082
2025-12-09,67800,68800,67600,67800,118181,0.2958579881656805,-25236,110,33829,-8703,0,18143.0,9.770000457763672,769504.0,2.1700000762939453
2025-12-08,68300,68300,67200,67600,150068,-1.1695906432748537,-37534,327,55966,-18759,0,14642.0,6.289999961853027,767767.0,2.1600000858306885
2025-12-05,67500,68400,67100,68400,136911,1.03397341211226,9335,150,-4758,-4727,0,22722.0,10.8100004196167,760277.0,2.140000104904175
2025-12-04,68600,68800,67000,67700,181961,-1.3119533527696794,-31786,-583,41388,-9019,0,30140.0,11.010000228881836,754813.0,2.119999885559082
2025-12-03,69400,69400,68300,68600,149492,0.0,-17081,1631,40214,-24764,0,28804.0,13.479999542236328,763490.0,2.1500000953674316
2025-12-02,69000,69700,68300,68600,227215,0.43923865300146414,16776,10601,58315,-85692,0,44768.0,14.020000457763672,735920.0,2.069999933242798
2025-12-01,69100,69100,67300,68300,243738,0.4411764705882353,57086,634,4805,-62525,0,70411.0,19.219999313354492,662993.0,1.8700000047683716
2025-11-28,66100,68300,66100,68000,359993,4.294478527607362,60019,-1448,-44724,-13847,0,29091.0,5.059999942779541,588216.0,1.659999966621399
2025-11-27,64700,65600,64300,65200,180292,1.2422360248447204,-28143,5774,39093,-16724,0,20224.0,6.909999847412109,567740.0,1.600000023841858
2025-11-26,63100,64400,62800,64400,199796,2.2222222222222223,-34986,-2120,14403,22703,0,34371.0,12.020000457763672,539227.0,1.5199999809265137
2025-11-25,65300,65500,62700,63000,341023,-3.374233128834356,-49987,2404,79283,-31700,0,63564.0,11.380000114440918,545892.0,1.5399999618530273
2025-11-24,66600,66700,64900,65200,232440,-1.6591251885369533,-9160,480,66970,-58290,0,44442.0,12.859999656677246,557302.0,1.5700000524520874
2025-11-21,66200,66900,65800,66300,196538,-2.2123893805309733,4290,385,53371,-58046,0,48961.0,16.09000015258789,501669.0,1.409999966621399
